epoch,training_loss,validation_loss,validation_accuracy,validation_balanced_accuracy
1,1.415864480169196,0.7662185843174274,90.0,16.66666716337204
2,1.3232220568154986,0.6752579166338994,90.0,16.66666716337204
3,1.2768010763745559,0.7302286349810087,90.0,16.66666716337204
4,1.2587955797973431,0.6545251516195444,90.0,16.66666716337204
5,1.220038635166068,0.661217925640253,90.0,16.66666716337204
6,1.204653473276841,0.7098051126186664,89.25,18.56481432914734
7,1.0445632636547089,0.5945462561570681,89.25,18.56481432914734
8,1.0179821205766577,0.5949492339904492,87.25,24.30555373430252
9,0.9846603227289099,0.6173192331424127,87.5,30.46296536922455
10,0.90970105873911,0.48441742016718936,88.0,26.48148238658905
11,0.8523384536567488,0.44696691173773545,88.75,30.694445967674255
12,0.8325906897846022,0.5051882542096652,86.5,28.240740299224854
13,0.8026232954702879,0.4872319010587839,86.75,34.39815044403076
14,0.8341488367632816,0.5445840152410361,85.0,46.296295523643494
15,0.780239003269296,0.452189727471425,87.25,42.63888895511627
16,0.7526466736668035,0.4458427348962197,87.75,40.69444239139557
17,0.759699030926353,0.6614337265491486,77.25,53.00925970077515
18,0.7847154030674383,0.40082155282680804,87.25,34.49074029922485
19,0.7605129770542446,0.5278429778722616,83.5,46.01851999759674
20,0.7502483270670238,0.5898845493793488,78.75,51.249998807907104
21,0.6997770510221782,0.504096466761369,83.25,50.046294927597046
22,0.7136058658361435,0.6228510095522954,81.25,61.89814805984497
23,0.7069626466224068,0.5067090139939234,83.5,56.203705072402954
24,0.6911979301979667,0.5946644911399255,81.25,63.935184478759766
25,0.6605332525152909,0.42527576364003694,85.5,54.53703999519348
26,0.6471152313445744,0.4561185378294725,83.75,56.25
27,0.5959643243174804,0.4358612516751656,86.0,52.59259343147278
28,0.6100809432958302,0.3486934464711409,88.5,46.94444239139557
29,0.5976113449586066,0.40549367093122923,84.75,54.398149251937866
